1	1	2	2	2.5
1	2	1	2	3.5
1	3	1	2	3
1	4	1	3.5	3
1	5	1	2.5	2
1	6	2	4	2.5
1	7	1	2.5	2.5
1	8	1	3.5	3
1	9	1	3	2.5
1	10	1	3.5	2.5
2	1	1	3	3
2	2	2	3	3.5
2	3	2	2	3
2	4	2	3.5	3
2	5	2	3	3.5
2	6	1	2	4
2	7	1	3.5	4
2	8	1	3	4
2	9	1	2	3
2	10	2	3	2
3	1	2	4	3.5
3	2	2	3.5	3
3	3	2	3.5	2
3	4	1	2	2.5
3	5	2	3	2.5
3	6	1	2	3
3	7	1	2.5	4
3	8	2	4	4
3	9	1	3	4
3	10	2	3	2.5
4	1	1	3.5	4
4	2	2	3	2
4	3	1	2	4
4	4	2	3.5	2
4	5	1	3.5	2.5
4	6	2	2	3
4	7	1	2.5	3
4	8	1	2.5	3.5
4	9	1	3	4
4	10	1	3	3.5
5	1	2	2	2
5	2	1	3.5	4
5	3	2	4	2
5	4	2	3.5	2
5	5	2	3.5	2
5	6	2	3	2.5
5	7	1	2	3
5	8	2	4	2
5	9	1	2	3.5
5	10	1	4	2.5
6	1	1	3.5	2
6	2	1	3.5	2
6	3	1	3	2.5
6	4	1	2.5	2
6	5	1	3.5	2.5
6	6	2	2	4
6	7	1	3	4
6	8	1	2.5	2
6	9	1	3	2.5
6	10	1	3	4
7	1	2	4	2.5
7	2	2	3.5	2.5
7	3	1	4	3
7	4	1	2.5	4
7	5	2	2.5	4
7	6	2	3.5	3.5
7	7	2	2	3.5
7	8	2	4	4
7	9	2	4	2.5
7	10	1	3	2.5
8	1	1	3.5	2.5
8	2	1	4	4
8	3	1	3.5	3
8	4	1	3.5	3.5
8	5	1	2	2.5
8	6	1	4	2
8	7	1	2.5	2
8	8	1	3.5	2.5
8	9	1	2	2.5
8	10	1	2	3.5
9	1	2	2	2.5
9	2	2	3.5	2.5
9	3	2	3.5	2
9	4	2	3.5	4
9	5	2	3	3.5
9	6	2	3	3.5
9	7	2	2	2
9	8	2	4	2.5
9	9	2	3	3
9	10	2	3.5	3.5
10	1	1	4	4
10	2	1	3	2.5
10	3	1	2.5	4
10	4	2	2.5	3
10	5	1	2	2
10	6	1	3.5	3.5
10	7	1	2.5	4
10	8	1	2	4
10	9	1	2	4
10	10	1	3.5	2.5
11	1	2	3	2.5
11	2	1	3.5	4
11	3	1	2.5	3.5
11	4	2	4	4
11	5	2	3.5	3.5
11	6	1	2.5	3
11	7	1	3.5	3.5
11	8	2	4	3.5
11	9	2	3	3
11	10	2	3	2
12	1	1	4	4
12	2	1	2	3.5
12	3	1	2.5	3.5
12	4	2	3	3
12	5	1	3.5	2.5
12	6	1	2	4
12	7	1	2	3.5
12	8	1	4	2
12	9	1	2.5	3.5
12	10	1	2	4
13	1	2	2	3.5
13	2	2	3	2.5
13	3	2	2	3.5
13	4	2	2	3.5
13	5	2	3	4
13	6	1	2	3.5
13	7	2	4	3
13	8	2	4	4
13	9	2	2	4
13	10	2	3	3
14	1	2	3	4
14	2	1	2	2.5
14	3	2	2.5	2
14	4	2	2.5	4
14	5	2	4	3.5
14	6	1	2	3.5
14	7	2	3.5	3.5
14	8	2	3.5	2
14	9	2	3	2
14	10	2	2	3.5
15	1	2	3	2.5
15	2	2	3	2
15	3	1	2	4
15	4	1	2.5	3
15	5	2	4	2
15	6	2	4	3.5
15	7	1	3.5	3.5
15	8	2	3	2
15	9	1	2	3
15	10	2	3	2
16	1	1	3.5	4
16	2	1	2	3.5
16	3	1	2	2
16	4	2	4	4
16	5	1	4	4
16	6	1	2.5	3.5
16	7	1	2	3.5
16	8	1	2.5	4
16	9	1	2	4
16	10	1	3.5	4
17	1	2	2	3.5
17	2	2	4	3.5
17	3	2	3	4
17	4	2	2.5	2.5
17	5	2	2.5	3
17	6	2	4	4
17	7	2	2	3.5
